"CASE","QUESTNNR","MODE","STARTED","CA01_01","CA01_02","CA01_03","CA01_04","CA01_05","CA02_01","CA02_02","CA02_03","CA02_04","CA02_05","CA03_01","CA03_02","CA03_03","CA03_04","CA03_05","CA04_01","CA04_02","CA04_03","CA04_04","CA04_05","CA05_01","CA05_02","CA05_03","CA05_04","CA05_05","CA06_01","CA06_02","CA06_03","CA06_04","CA06_05","CA07","DD01_01","DD02","DD03","DD04","DD05","DD06","DD07","DD08","PK01","PK02","PK03","PK04","PK05","PK06","PK07","PK08","PK09","PK10","PK11","PK12","PK13","PK14","PK15","PK16","PK17","PK18","PK19","M1_RichtigFalsch","PM01_01","M2_RichtigFalsch","PM02_01","M3_RichtigFalsch","PM03_01","M4_RichtigFalsch","PM04_01","M5_RichtigFalsch","PM05_01","M6_RichtigFalsch","PM06_01","M7_RichtigFalsch","PM07_01","M8_RichtigFalsch","PM08_01","M9_RichtigFalsch","PM09_01","M10_RichtigFalsch","PM10_01","M11_RichtigFalsch","PM11_01","M12_RichtigFalsch","PM12_01","M13_RichtigFalsch","PM13_01","M14_RichtigFalsch","PM14_01","M15_RichtigFalsch","PM15_01","M16_RichtigFalsch","PM16_01","M17_RichtigFalsch","PM17_01","M18_RichtigFalsch","PM18_01","M19_RichtigFalsch","PM19_01","SC01","SC07","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DK","DL"
57,"base","interview","30-10-2025 16:16:18",2,3,1,1,1,5,3,4,3,4,2,2,2,3,2,4,2,5,3,2,2,3,2,2,1,5,1,5,3,2,4,"36",2,2,1,,,,2,4,3,2,4,3,2,4,4,2,2,4,2,4,3,3,2,2,3,3,1,"""something noteworthy""",1,"""Something Noteworthy""",,,1,"""Camera Use""",1,"""Payment Services""",,,1,"""Location Data""",1,"""Location Data""",,,,,1,"""Contacts""",,,2,"Don't remember/wasn't introduced before",1,"""Rights to Data""",1,"""Rights to Data""",,,,,1,"""Giving Data away""",1,"""Giving Data away""",2,2,119,13,14,20,14,14,18,53,21,38,68,36,27,28,9,23,19,36,5,,425,,"30-10-2025 16:25:53",,1,0,19,19,0,0,0.92,,
58,"base","interview","30-10-2025 16:16:44",2,3,1,1,1,4,3,4,3,3,3,1,2,2,1,3,3,4,3,2,2,1,2,2,1,4,3,4,4,3,4,,1,2,1,,,,2,4,5,3,5,5,4,5,5,2,4,4,4,2,2,2,3,3,3,3,1,"attention/important ",1,"important/attention",1,"camera usage",1,"camera",1,"payment",2,"money? IT might mistake it as database/storage",1,"location",1,"location",,,2,"data rights?",1,"contacts",1,"contact",,,,,,,1,"data rights",1,"I don't think the exact symbol was in the survey but similar ones were data export",1,"data export",1,"data export",2,2,20,12,19,29,17,32,19,13,88,38,99,22,52,17,8,20,40,27,8,,452,,"30-10-2025 16:26:25",,1,0,19,19,1,1,0.84,,
59,"base","interview","30-10-2025 16:17:25",2,4,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,5,1,4,3,3,4,"22",2,2,1,,,,2,3,4,2,5,3,4,5,5,1,4,4,2,3,3,3,3,5,2,2,1,"Important ",1,"Something important ",,,1,"Camera",1,"Payment ",1,"Payment",1,"location data",1,"Location data",,,,,1,"Contacts",,,1,"Contacts",1,"Rights to data",1,"Rights to data",1,"rights to data",1,"Giving data away",,,,,2,2,6,19,23,37,15,16,17,24,67,27,27,38,44,25,6,7,15,20,4,,388,,"30-10-2025 16:24:42",,1,0,19,19,1,1,1.15,,
62,"base","interview","30-10-2025 16:18:16",1,5,1,2,1,4,2,4,5,3,2,4,2,2,2,4,2,4,3,5,2,4,1,2,2,5,1,5,4,5,4,"21",2,1,1,,,,1,4,4,4,5,4,5,4,4,4,4,4,4,1,4,5,4,3,5,1,2,"Alarm",2,"Idea/advice",1,"Camera",1,"Camera",1,"payment ",2,"Money",1,"Location",1,"Location",2,"Write sm ",2,"Write sm",1,"Contact",1,"Contact",,,1,"right to sm",1,"Right",2,"Finance ",1,"Share",1,"Share sm",,,2,2,7,53,114,27,19,13,11,20,14,25,38,26,23,11,14,16,10,12,8,,326,,"30-10-2025 16:25:58",,1,0,19,19,0,0,1.13,,
64,"base","interview","30-10-2025 16:18:57",2,3,2,1,3,4,2,4,2,2,5,1,3,3,1,5,1,5,1,5,2,2,3,2,3,5,1,5,1,5,4,"20",2,1,1,,,,1,4,4,2,5,5,4,5,5,1,3,3,1,5,4,5,5,5,3,4,1,"Attention/Alarming ",2,"Light bulb",,,1,"Camera",2,"card payment ",1,"Financial services ",1,"Geolocation",1,"Location ",,,2,"Data coverage ",1,"Contacts ",,,1,"Contacts ",1,"Personal data rights ",1,"Data law ",2,"Data comparison ",1,"Data Sharing",2,"Data usage ",1,"Data sharing ",2,2,10,93,20,17,12,25,15,10,12,65,47,19,40,16,17,38,19,25,7,,428,,"30-10-2025 16:27:24",,1,0,19,19,0,0,0.96,,
66,"base","interview","30-10-2025 16:42:53",1,4,1,2,1,3,3,3,3,3,4,2,5,4,4,5,3,3,2,3,4,2,4,4,3,5,1,3,2,5,4,"22",2,1,4,,,3,,4,2,3,4,5,1,5,5,3,2,5,4,3,2,4,4,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,188,15,40,42,10,18,22,11,31,79,55,101,,,,,,,,,359,,"30-10-2025 16:53:05",,0,0,12,12,0,0,0.69,,
67,"base","interview","30-10-2025 16:45:20",1,3,1,2,1,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,5,1,5,1,4,4,,1,1,4,,,4,,4,4,3,5,3,4,5,5,3,4,3,5,4,4,4,4,4,4,4,1,"Attention",1,"Important",1,"Camera",1,"Camera",1,"Payment",2,"wasn?t there",1,"location of data",2,"Data of this location ",1,"writing data",1,"Writing data",1,"Contacts",1,"Contact",2,"wasn?t there",1,"Rights to data",1,"Data rights",1,"Rights",1,"Giving data away",1,"Giving data away",2,"Wasn?t there",2,2,38,22,28,20,17,10,11,8,14,28,20,15,31,15,17,28,24,23,6,,375,,"30-10-2025 16:51:35",,1,0,19,19,1,1,1.12,,
68,"base","interview","30-10-2025 16:45:32",1,5,1,1,1,5,1,4,4,4,3,3,3,3,3,3,2,3,4,5,2,4,2,3,3,5,1,5,3,5,4,,2,1,4,,,4,,5,3,3,4,4,3,5,4,3,3,4,5,4,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,52,9,19,43,18,18,16,15,16,41,49,49,712912,,,,,,,,374,,"07-11-2025 22:53:09",,0,0,13,13,2,2,0.79,,
69,"base","interview","30-10-2025 16:45:57",1,5,1,1,1,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,5,5,5,5,5,4,,2,1,4,,,4,,4,3,3,4,3,4,4,2,3,4,4,4,4,4,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,22,49,37,15,21,18,16,18,23,44,11,10,5,3,3,3,,,,308,,"30-10-2025 16:51:05",,0,0,17,17,21,21,1.57,,
70,"base","interview","30-10-2025 17:29:02",2,4,1,2,1,5,1,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,5,1,5,2,3,4,"26",2,1,4,,,4,,4,3,4,4,3,4,5,5,2,4,5,4,4,5,5,5,5,3,2,2,"Warning ",2,"Tips",1,"Camera access ",1,"Camera access",1,"Payment option ",2,"It wasn't there",1,"Location ",1,"Location access",,,2,"I didn't notice",1,"Contacts",1,"Contact access",2,"No",2,"Terms and agreement ",2,"Agreement ",2,"Agreement ",1,"Giving data away",1,"Giving away data",,,2,2,172,81,22,56,14,15,17,16,18,64,36,43,71,28,13,31,24,37,8,,537,,"30-10-2025 17:41:49",,1,0,19,19,0,0,0.73,,
